StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q31,Q34,Q1,Q3,Q9,Q11,Q6,Q23,Q22,Q22_4_TEXT,Q24,Q7,Q7_4_TEXT,Q4,Q5,Q5_4_TEXT,Q36,Q38,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q48,Q52,Q53,Q54,Q55,rid,gender,ethnicity,education,region,age,hhi,hispanic,political_party,zip,Group
11/13/2018 12:13,11/13/2018 12:17,IP Address,96.32.124.150,100,215,TRUE,11/13/2018 12:17,R_27KcFF4kK7MOW0K,,,,,42.24920654,-71.81079865,anonymous,EN,Currently living in the United States of America,,31-40,Female,Master's degree,"$150,000 or more",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.)",,Sometimes,"Fox News,CNN",,Left leaning,Democrat,,Sometimes,Almost Never,Sometimes,Fairly Often,Very Often,Very Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Sometimes,Sometimes,Fairly Often,Almost Never,,,,,,35,,,,,Placebo
11/13/2018 12:15,11/13/2018 12:19,IP Address,108.81.237.114,100,257,TRUE,11/13/2018 12:19,R_10pc94J9koAv0rD,,,,,29.01719666,-80.8884964,anonymous,EN,Currently living in the United States of America,,Older than 60,Female,High school graduate (high school diploma or equivalent including GED),"$40,000 to $49,999",Daily,"Television broadcast,Radio broadcast,Online Media","Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"CNN,Other",,Left leaning,Democrat,,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Very Often,Almost Never,Fairly Often,,,,,,65,,,,,Control
11/13/2018 12:17,11/13/2018 12:25,IP Address,79.207.93.231,100,482,TRUE,11/13/2018 12:25,R_digXkDved9jQamR,,,,,50.21670532,8.616699219,anonymous,EN,Currently living outside of the United States of America,Yes,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Daily,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,Other,BBC UK,Left leaning,Democrat,,Sometimes,Never,Almost Never,Fairly Often,Fairly Often,Very Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 12:21,11/13/2018 12:27,IP Address,108.68.92.125,100,319,TRUE,11/13/2018 12:27,R_3oN10ukZa9CYeVj,,,,,35.19360352,-80.68460083,anonymous,EN,Currently living in the United States of America,,Older than 60,Female,Some college but no degree,"$80,000 to $89,999",Daily,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.)",,Sometimes,"CNN,Other",MSN,Left leaning,Democrat,,Fairly Often,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,,,,,,65,,,,,Placebo
11/13/2018 12:32,11/13/2018 12:36,IP Address,173.79.214.171,100,264,TRUE,11/13/2018 12:36,R_3iU7bawvjxm4yqA,,,,,38.95770264,-77.60379791,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$150,000 or more",Multiple times per day,"Television broadcast,Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,Other",Bloomberg/BBC,Left leaning,Democrat,,Sometimes,Sometimes,Fairly Often,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 12:33,11/13/2018 12:38,IP Address,96.231.155.39,100,293,TRUE,11/13/2018 12:38,R_3njFmzvPS7BcR9J,,,,,38.84480286,-77.46700287,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$100,000 to $149,999",Daily,Online Media,"Directly from the news source (CNN, Fox News, etc.)",,Always,"Reuters,Other",NPR,Left leaning,Independent,,Fairly Often,Almost Never,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Fairly Often,Sometimes,Almost Never,,,,,,35,,,,,Control
11/13/2018 12:35,11/13/2018 12:40,IP Address,174.204.20.213,100,285,TRUE,11/13/2018 12:40,R_3e30QxPXzvk4iqY,,,,,38.93260193,-77.17060089,anonymous,EN,Currently living in the United States of America,,31-40,Male,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,Reuters,,Central,Republican,,Sometimes,Almost Never,Almost Never,Fairly Often,Fairly Often,Very Often,Fairly Often,Never,Fairly Often,Fairly Often,Sometimes,Sometimes,Fairly Often,Never,,,,,,35,,,,,Control
11/13/2018 11:21,11/13/2018 12:43,IP Address,174.65.55.96,100,4912,TRUE,11/13/2018 12:43,R_2OPYElqxDA7S5DE,,,,,33.11010742,-117.0699997,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$100,000 to $149,999",Daily,"Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"CNN,Other",Washington Post,Left leaning,Democrat,,Sometimes,Fairly Often,Sometimes,Sometimes,Fairly Often,Sometimes,Almost Never,Never,Sometimes,Very Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,,,,,,35,,,,,Placebo
11/13/2018 12:45,11/13/2018 12:52,IP Address,99.203.17.122,100,429,TRUE,11/13/2018 12:52,R_1GN3ghpAUDwtsxK,,,,,39.30929565,-76.66989899,anonymous,EN,Currently living in the United States of America,,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Television broadcast,Radio broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,Other,NBC or NPR,Central,Democrat,,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Almost Never,Very Often,Sometimes,Sometimes,,,,,,45,,,,,Placebo
11/13/2018 12:49,11/13/2018 12:57,IP Address,99.13.249.0,100,439,TRUE,11/13/2018 12:57,R_1mDB5PYoW59Pr3f,,,,,29.02470398,-80.95839691,anonymous,EN,Currently living in the United States of America,,Older than 60,Female,Some college but no degree,"$70,000 to $79,999",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.)",,Sometimes,Other,"USA today, msn",Central,Democrat,,Almost Never,Almost Never,Never,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Never,Fairly Often,Fairly Often,Never,,,,,,65,,,,,Placebo
11/13/2018 12:57,11/13/2018 13:00,IP Address,109.91.39.141,100,185,TRUE,11/13/2018 13:00,R_2b30JQTw2KLcY0E,,,,,50.08169556,8.23890686,anonymous,EN,Currently living outside of the United States of America,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,
11/13/2018 13:01,11/13/2018 13:01,IP Address,80.248.10.179,100,18,TRUE,11/13/2018 13:01,R_3RfvwjMqFxznjfc,,,,,6.453094482,3.395797729,anonymous,EN,Currently living outside of the United States of America,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,
